scenario,algorithm,load_mbps,num_onus,tcont_type,repetitions,latency_mean_us,latency_mean_ci95,latency_p99_us,latency_p99_ci95,jitter_mean_us,throughput_mbps,loss_rate_mean,loss_rate_ci95
BasicDBA_load10,basic,10,32,1,10,414.25802052997324,0.0,476.02880439323593,0.0,45.60034670352876,32.000284444444446,0.0,0.0
BasicDBA_load10,basic,10,32,2,10,396.6162902464198,0.1517147937024248,481.0815899296224,0.032349658593462755,76.46562334298703,160.08533333333332,0.0,0.0
BasicDBA_load10,basic,10,32,4,10,378.6277290881279,0.10123850633904144,483.33600108169117,0.01341879761351523,123.70089168038099,355.6680711111111,0.0,0.0
BasicDBA_load25,basic,25,32,1,10,414.25802052997324,0.0,476.02880439323593,0.0,45.60034670352876,32.000284444444446,0.0,0.0
BasicDBA_load25,basic,25,32,2,10,400.00750488987427,0.08255097301355242,533.6848772937275,0.5861504340702454,77.98045942567474,160.0152888888889,0.0,0.0
BasicDBA_load25,basic,25,32,4,10,337.65138881505175,0.050927044374249185,481.8146923701097,0.01688802031320617,124.21344697719307,888.1440711111111,0.0,0.0
BasicDBA_load50,basic,50,32,1,10,414.25802052997324,0.0,476.02880439323593,0.0,45.60034670352876,32.000284444444446,0.0,0.0
BasicDBA_load50,basic,50,32,2,10,401.17580100185035,0.11488813168029095,546.1937038319354,0.42986198221347943,78.32857031646601,159.88577777777778,0.0,0.0
BasicDBA_load50,basic,50,32,4,10,422.71037302633647,0.13804243260680324,727.0703529294904,0.8669421090054595,64.72586899350247,1776.204888888889,0.0,0.0
BasicDBA_load75,basic,75,32,1,10,414.25802052997324,0.0,476.02880439323593,0.0,45.60034670352876,32.000284444444446,0.0,0.0
BasicDBA_load75,basic,75,32,2,10,401.24487021565244,0.09291720180223058,545.897827278382,0.6500561704003215,78.33330155302973,159.85351111111112,0.0,0.0
BasicDBA_load75,basic,75,32,4,10,2134.6012896317925,18.181626097427475,7485.830590567006,102.38207673427377,78.88017856716417,2662.6744355555556,0.0,0.0
BasicDBA_load100,basic,100,32,1,10,25436.76007433974,0.004345746527127899,26076.028800479784,5.172177179938289e-09,1154.9995219905034,31.99978666666667,0.0,0.0
BasicDBA_load100,basic,100,32,2,10,4410.632598936668,5.174453792104278,12790.131167136478,41.466852045646284,1804.5479916106597,159.9568,0.0,0.0
BasicDBA_load100,basic,100,32,4,10,177874.84801187168,5.422706008894413,178607.09846084713,0.016188548059636484,83.01265516281983,2867.2,0.17842595662019653,0.0004680394254208427
QoSDBA_load10,qos,10,32,1,10,164.25836796045803,0.0,226.028804393541,0.0,45.59983827388171,32.00014222222222,0.0,0.0
QoSDBA_load10,qos,10,32,2,10,401.22661872700695,0.14875176458940664,546.6657373991775,0.7315275284837116,78.31887008552536,160.0849777777778,0.0,0.0
QoSDBA_load10,qos,10,32,4,10,378.63013655574036,0.10108491927199267,483.34240279316947,0.014394132665457877,123.6997235179497,355.6680711111111,0.0,0.0
QoSDBA_load25,qos,25,32,1,10,164.25836796045803,0.0,226.028804393541,0.0,45.59983827388171,32.00014222222222,0.0,0.0
QoSDBA_load25,qos,25,32,2,10,401.13713052070705,0.0756486555598895,546.2269664674238,0.5122357697433153,78.45528301586072,160.0152888888889,0.0,0.0
QoSDBA_load25,qos,25,32,4,10,337.976770660985,0.051489988592725064,481.8089493866792,0.022118581291866224,123.3132272178795,888.1439466666667,0.0,0.0
QoSDBA_load50,qos,50,32,1,10,164.25836796045803,0.0,226.028804393541,0.0,45.59983827388171,32.00014222222222,0.0,0.0
QoSDBA_load50,qos,50,32,2,10,401.17613824601614,0.11480286921296573,546.2113125491795,0.4217817364130594,78.32788771898309,159.88577777777778,0.0,0.0
QoSDBA_load50,qos,50,32,4,10,423.4165020113667,0.12317577676925973,739.2365416923396,1.2779067394879327,64.72453777975727,1776.2047644444444,0.0,0.0
QoSDBA_load75,qos,75,32,1,10,164.25836796045803,0.0,226.028804393541,0.0,45.59983827388171,32.00014222222222,0.0,0.0
QoSDBA_load75,qos,75,32,2,10,401.2443358432793,0.0927096893723415,545.9211415909854,0.6555170127592944,78.33352746002664,159.85351111111112,0.0,0.0
QoSDBA_load75,qos,75,32,4,10,2214.2806905167263,21.605423214694504,8692.667844763619,222.86573767196066,78.92987277726228,2662.66448,0.0,0.0
QoSDBA_load100,qos,100,32,1,10,164.25836796045803,0.0,226.028804393541,0.0,45.59983827388171,32.00014222222222,0.0,0.0
QoSDBA_load100,qos,100,32,2,10,401.2660560213767,0.09356427278746716,546.3374862391429,0.5365870296308364,78.35346145766992,159.95884444444445,0.0,0.0
QoSDBA_load100,qos,100,32,4,10,177874.85235310788,5.427172800322828,178607.09527640554,0.01496718072735556,83.02119518198589,2867.2,0.17842800617735202,0.0004680403318035485
