algoritmo,num_onus,carga_embb,rep,loss_embb,loss_urllc,loss_mmtc,lat_avg_embb,lat_avg_urllc,lat_avg_mmtc,lat_p99_urllc,throughput_total,jitter_urllc
IPACT,16,25,6,0.0,0.0,0.0,,,,,12.51386501851852,
IPACT,16,25,6,0.0,0.0,0.0,,,,,12.555095796296296,
IPACT,16,50,6,0.0009382005502207867,0.7630533769224563,0.0,,,,,21.04039651851852,
IPACT,16,50,6,0.0010920277849387,0.7679148725737388,0.0,,,,,21.043464703703705,
IPACT,16,50,6,0.0006962600168487563,0.7436073080159106,0.0,,,,,21.03987548148148,
IPACT,16,50,6,0.0006877898034100436,0.7592133371762113,0.0,,,,,21.04907424074074,
IPACT,16,50,6,0.0006039391516393625,0.7336975063371007,0.0,,,,,21.041366574074075,
IPACT,16,50,6,0.0008213999696844687,0.7469041086716575,0.0,,,,,21.041485037037038,
IPACT,16,50,6,0.0010598820774873376,0.7584511727919625,0.0,,,,,21.043494833333334,
IPACT,16,50,6,0.00030698824759583127,0.7549700164315163,0.0,,,,,21.042284592592594,
IPACT,16,50,6,0.0004079960979318375,0.7480994559261194,0.0,,,,,21.03985,
IPACT,16,50,6,0.00012124474976863125,0.7417129097450488,0.0,,,,,21.0430705,
IPACT,16,25,6,0.0,0.0,0.0,,,,,12.552849518518519,
IPACT,16,100,6,0.48965879086853437,0.868156954893455,0.0,,,,,21.046851370370373,
IPACT,16,100,6,0.49083565558069375,0.8682239210196987,0.0,,,,,21.04808598148148,
IPACT,16,100,6,0.4901728355630606,0.8680201194705675,0.0,,,,,21.044274574074073,
IPACT,16,100,6,0.49189511911094125,0.86810170642836,0.0,,,,,21.046095944444446,
IPACT,16,100,6,0.49001464963290187,0.8682885407271288,0.0,,,,,21.05070016666667,
IPACT,16,100,6,0.4903356771827644,0.86846319470949,0.0,,,,,21.042523648148148,
IPACT,16,100,6,0.49114022544019814,0.8681145718397094,0.0,,,,,21.046773833333333,
IPACT,16,100,6,0.4911597769670881,0.8682885534490056,0.0,,,,,21.047741574074074,
IPACT,16,100,6,0.48997711796495624,0.8680983776796762,0.0,,,,,21.048058018518518,
IPACT,16,100,6,0.4899742582308575,0.8679564432772119,0.0,,,,,21.0474485,
IPACT,16,25,6,0.0,0.0,0.0,,,,,12.583372907407409,
IPACT,16,150,6,0.6597923418871088,0.8692844881618962,0.0,,,,,21.045879222222222,
IPACT,16,150,6,0.6604158436228338,0.8694483941372482,0.0,,,,,21.04880481481482,
IPACT,16,150,6,0.6601096808677281,0.8691985560564506,0.0,,,,,21.04626614814815,
IPACT,16,150,6,0.6599965918358213,0.8696758875028618,0.0,,,,,21.04564746296296,
IPACT,16,150,6,0.65996540797689,0.8693339171453519,0.0,,,,,21.043999074074076,
IPACT,16,150,6,0.6599627751950019,0.8694722627114781,0.0,,,,,21.048405296296295,
IPACT,16,150,6,0.6605043677581681,0.8687326874682825,0.0,,,,,21.047158814814818,
IPACT,16,150,6,0.6599907483971231,0.8695601294990032,0.0,,,,,21.045359296296294,
IPACT,16,150,6,0.6597482732427843,0.8694183996873968,0.0,,,,,21.04733538888889,
IPACT,16,150,6,0.660219134279978,0.8690568345455825,0.0,,,,,21.043943240740738,
IPACT,16,25,6,0.0,0.0,0.0,,,,,12.568852111111111,
IPACT,16,200,6,0.744734603457565,0.8698720994760681,0.0,,,,,21.047584407407406,
IPACT,16,200,6,0.7448419335453869,0.8692987009499706,0.0,,,,,21.046584703703704,
IPACT,16,200,6,0.7450378116209868,0.869724097275095,0.0,,,,,21.047112722222224,
IPACT,16,200,6,0.7450574360702112,0.8697250618944332,0.0,,,,,21.044560092592594,
IPACT,16,200,6,0.7447845332712563,0.8697121526698018,0.0,,,,,21.043432074074076,
IPACT,16,200,6,0.7448974021744137,0.8698786170195856,0.0,,,,,21.04491837037037,
IPACT,16,200,6,0.7451668750986319,0.86991436402584,0.0,,,,,21.047071740740737,
IPACT,16,200,6,0.745042871124225,0.8694738685925713,0.0,,,,,21.04524766666667,
IPACT,16,200,6,0.7447725382259094,0.8697823568997449,0.0,,,,,21.048453296296294,
IPACT,16,200,6,0.7450140781735738,0.8695799624477106,0.0,,,,,21.04586148148148,
IPACT,16,25,6,0.0,0.0,0.0,,,,,12.586513277777778,
IPACT,16,25,6,0.0,0.0,0.0,,,,,12.566464851851853,
IPACT,16,25,6,0.0,0.0,0.0,,,,,12.54898937037037,
IPACT,16,25,6,0.0,0.0,0.0,,,,,12.550433574074075,
IPACT,16,25,6,0.0,0.0,0.0,,,,,12.539206722222222,
QosDBA,16,25,4,0.0,0.0,0.0,,,,,12.51386501851852,
QosDBA,16,25,4,0.0,0.0,0.0,,,,,12.5550695,
QosDBA,16,50,4,0.08246601244654336,0.0,0.0,,,,,20.855611777777778,
QosDBA,16,50,4,0.08229699270979757,0.0,0.0,,,,,20.85451048148148,
QosDBA,16,50,4,0.07887733743361637,0.0,0.0,,,,,20.85455085185185,
QosDBA,16,50,4,0.0814553950242862,0.0,0.0,,,,,20.853936425925927,
QosDBA,16,50,4,0.07784051551528245,0.0,0.0,,,,,20.853538111111114,
QosDBA,16,50,4,0.07984798079424107,0.0,0.0,,,,,20.85834351851852,
QosDBA,16,50,4,0.08238971713385075,0.0,0.0,,,,,20.85791414814815,
QosDBA,16,50,4,0.08137289090674531,0.0,0.0,,,,,20.856195074074076,
QosDBA,16,50,4,0.07933299805543831,0.0,0.0,,,,,20.852130074074076,
QosDBA,16,50,4,0.07936247976793345,0.0,0.0,,,,,20.852215166666667,
QosDBA,16,25,4,0.0,0.0,0.0,,,,,12.552849518518519,
QosDBA,16,100,4,0.5381643414938844,0.0,0.0,,,,,20.857084481481483,
QosDBA,16,100,4,0.5393280524129574,0.0,0.0,,,,,20.8588965,
QosDBA,16,100,4,0.5386223909087575,0.0,0.0,,,,,20.859711592592593,
QosDBA,16,100,4,0.5402862983639825,0.0,0.0,,,,,20.85822761111111,
QosDBA,16,100,4,0.5386899384538112,0.0,0.0,,,,,20.856071037037037,
QosDBA,16,100,4,0.5386244889268095,0.0,0.0,,,,,20.86083024074074,
QosDBA,16,100,4,0.5394396093431288,0.0,0.0,,,,,20.859943759259263,
QosDBA,16,100,4,0.5395686575477787,0.0,0.0,,,,,20.859413907407408,
QosDBA,16,100,4,0.538603067293715,0.0,0.0,,,,,20.857387444444445,
QosDBA,16,100,4,0.5384868381944656,0.0,0.0,,,,,20.85934935185185,
QosDBA,16,25,4,0.0,0.0,0.0,,,,,12.583372907407409,
QosDBA,16,150,4,0.6921934578467168,0.0,0.0,,,,,20.85514935185185,
QosDBA,16,150,4,0.6927261317746269,0.0,0.0,,,,,20.859545907407405,
QosDBA,16,150,4,0.6924343962295726,0.0,0.0,,,,,20.856152666666667,
QosDBA,16,150,4,0.69243308654816,0.0,0.0,,,,,20.859029629629628,
QosDBA,16,150,4,0.6923327143395337,0.0,0.0,,,,,20.85795348148148,
QosDBA,16,150,4,0.6923821503225038,0.0,0.0,,,,,20.856013129629627,
QosDBA,16,150,4,0.6927635079305763,0.0,0.0,,,,,20.857913444444446,
QosDBA,16,150,4,0.6922663455281793,0.0,0.0,,,,,20.860302814814816,
QosDBA,16,150,4,0.6921525392417169,0.0,0.0,,,,,20.861101240740737,
QosDBA,16,150,4,0.6924432794932619,0.0,0.0,,,,,20.860734833333332,
QosDBA,16,25,4,0.0,0.0,0.0,,,,,12.568852111111111,
QosDBA,16,200,4,0.7690584980582538,0.0,0.0,,,,,20.856435592592593,
QosDBA,16,200,4,0.76916744438814,0.0,0.0,,,,,20.85862296296296,
QosDBA,16,200,4,0.769322350687605,0.0,0.0,,,,,20.858999722222222,
QosDBA,16,200,4,0.7694145887160238,0.0,0.0,,,,,20.85581388888889,
QosDBA,16,200,4,0.7690975392019163,0.0,0.0,,,,,20.85696298148148,
QosDBA,16,200,4,0.7691966398306656,0.0,0.0,,,,,20.85742025925926,
QosDBA,16,200,4,0.7694167269497949,0.0,0.0,,,,,20.859694462962963,
QosDBA,16,200,4,0.7693215663529319,0.0,0.0,,,,,20.855254537037037,
