scenario,algorithm,load_mbps,num_onus,tcont_type,repetitions,latency_mean_us,latency_mean_ci95,latency_p99_us,latency_p99_ci95,latency_max_us,latency_max_ci95,jitter_mean_us,throughput_mbps,loss_rate_mean,loss_rate_ci95,sla_compliance_pct,sla_compliance_ci95
IPACT_load200,ipact,200,8,1,10,498.0915995166903,0.4302806413521644,706.6031870043065,0.9156269605088934,821.2129350352593,6.105496347380367,96.77997158835934,8.0,0.0,0.0,100.0,0.0
IPACT_load200,ipact,200,8,2,10,416.38615427190314,0.44114240791019166,686.1022246440168,0.6143387972209601,842.6131414434601,6.9257564042990465,125.71331910158466,319.83324444444446,0.0,0.0,100.0,0.0
IPACT_load200,ipact,200,8,4,10,421.9981197731037,0.4550498575180368,673.1509395044217,0.7854342221530375,866.0026750077154,11.037559608564596,51.572729986889364,1774.4087822222223,0.0,0.0,100.0,0.0
IPACT_load400,ipact,400,8,1,10,1613.0782913245685,0.3324014793236856,2109.0753027453447,0.33363702051291183,2109.0753091022457,0.33363702369378145,397.19092192240976,7.999872000000001,0.0,0.0,88.3724373090054,0.06292413660674277
IPACT_load400,ipact,400,8,2,10,1635.6020449715813,0.26632956374412764,2113.5214073626175,0.1304373953154892,2127.421967885479,0.23307236701284198,236.50006896485226,319.97075555555557,0.0,0.0,100.0,0.0
IPACT_load400,ipact,400,8,4,10,60927.80152963367,12.444544368364829,62407.01782001542,10.076095729103262,63370.96494770948,43.14342449531593,64.6208839477355,2096.471128888889,0.40586850367772587,0.00031742790205773516,100.0,0.0
IPACT_load800,ipact,800,8,1,10,1613.0296798032819,0.2678467539192881,2109.048450887674,0.273742260728073,2109.0484572498317,0.273742263383512,397.1912096649053,7.999800888888889,0.0,0.0,88.39509206671771,0.06426019215642659
IPACT_load800,ipact,800,8,2,10,1635.3990572431915,0.19958197055731472,2113.52391970418,0.09531746307558954,2127.09130343873,0.4005197597839094,236.51750864031763,319.87111111111113,0.0,0.0,100.0,0.0
IPACT_load800,ipact,800,8,4,10,61102.27484803341,6.45279243552391,62558.748554053695,4.469241277479005,63513.457889826685,33.68857647632115,67.8346425252289,2096.6373866666668,0.70283731655148,0.00010216851851229781,100.0,0.0
GIANT_load200,giant,200,8,1,10,164.25825743949332,0.0,226.0288043934855,0.0,226.02880657601742,0.0,45.59963020895236,8.000142222222223,0.0,0.0,100.0,0.0
GIANT_load200,giant,200,8,2,10,1008.1163039562393,0.9048179050593762,1922.831182302212,10.48343999774176,3027.217601976842,55.17952956983394,261.33694191935103,319.83253333333334,0.0,0.0,100.0,0.0
GIANT_load200,giant,200,8,4,10,2482.5054483985973,2.4612729377955227,4526.925164953063,2.7574384394365152,5636.092414778612,32.86129981806256,135.50121422939216,1774.4318044444444,0.0,0.0,100.0,0.0
GIANT_load400,giant,400,8,1,10,164.25825743949332,0.0,226.0288043934855,0.0,226.02880657601742,0.0,45.59963020895236,8.000142222222223,0.0,0.0,100.0,0.0
GIANT_load400,giant,400,8,2,10,1008.102913408978,0.8932249226546606,1921.516893426023,6.166164212237653,3109.4192758904182,65.75994122770813,261.46404404779327,319.97315555555554,0.0,0.0,100.0,0.0
GIANT_load400,giant,400,8,4,10,63367.07211215602,13.42723673668554,64841.731910110626,9.804348719822505,65678.79131951788,57.91225601518641,67.82051903585842,2015.3261333333332,0.42895564227826527,0.0003161491798016119,100.0,0.0
GIANT_load800,giant,800,8,1,10,164.25825743949332,0.0,226.0288043934855,0.0,226.02880657601742,0.0,45.59963020895236,8.000142222222223,0.0,0.0,100.0,0.0
GIANT_load800,giant,800,8,2,10,1008.7222464745283,1.2203074853057891,1926.1555989388585,10.11632028247582,3103.506091705505,82.02667436682948,261.39462166350734,319.87297777777775,0.0,0.0,100.0,0.0
GIANT_load800,giant,800,8,4,10,63533.42619702891,6.836670749896933,65009.00732838988,3.970924062871462,65868.89040370038,63.23662937771916,70.9834783303328,2015.4694933333333,0.7143880497698658,0.00011622025041561778,100.0,0.0
QoSDBA_load200,qos,200,8,1,10,164.25825743949332,0.0,226.0288043934855,0.0,226.02880657601742,0.0,45.59963020895236,8.000142222222223,0.0,0.0,100.0,0.0
QoSDBA_load200,qos,200,8,2,10,456.8852014233542,0.6253257860930928,998.7185348591082,5.590342687679269,1697.1218797390998,39.36215748292745,109.49134140043637,319.83333333333337,0.0,0.0,100.0,0.0
QoSDBA_load200,qos,200,8,4,10,85648.18800007516,36.54178910658151,87220.9628903338,53.8258292114075,87800.3512384708,75.48238998430735,64.97440711885399,1488.0247822222223,0.1507696368992523,0.0005637277213701886,100.0,0.0
QoSDBA_load400,qos,400,8,1,10,164.25825743949332,0.0,226.0288043934855,0.0,226.02880657601742,0.0,45.59963020895236,8.000142222222223,0.0,0.0,100.0,0.0
QoSDBA_load400,qos,400,8,2,10,456.5462339730802,0.5562159015334863,991.4288998437631,4.728017126051912,1732.5762133045125,45.39965484192384,109.48986669085527,319.97635555555553,0.0,0.0,100.0,0.0
QoSDBA_load400,qos,400,8,4,10,86208.33332862696,33.9409356689258,87340.48977056585,68.72332237532792,87748.07597993505,73.64359321663326,62.42095509348724,1484.8432355555556,0.5779789623486841,0.00021756902863243055,100.0,0.0
QoSDBA_load800,qos,800,8,1,10,164.25825743949332,0.0,226.0288043934855,0.0,226.02880657601742,0.0,45.59963020895236,8.000142222222223,0.0,0.0,100.0,0.0
