scenario,algorithm,load_mbps,num_onus,tcont_type,repetitions,latency_mean_us,latency_mean_ci95,latency_p99_us,latency_p99_ci95,jitter_mean_us,throughput_mbps,loss_rate_mean,loss_rate_ci95
BasicDBA_load10,basic,10,32,1,10,414.25802052997324,0.0,476.02880439323593,0.0,45.60034670352876,32.000284444444446,0.0,0.0
BasicDBA_load10,basic,10,32,2,10,396.99235876527047,0.15117118418522793,482.9897100625119,0.3845947436069651,76.6248870976206,160.08533333333332,0.0,0.0
BasicDBA_load10,basic,10,32,4,10,378.627355438909,0.10125837452687093,483.3355222604585,0.013846552442422963,123.70072858096452,355.6680711111111,0.0,0.0
BasicDBA_load25,basic,25,32,1,10,414.25802052997324,0.0,476.02880439323593,0.0,45.60034670352876,32.000284444444446,0.0,0.0
BasicDBA_load25,basic,25,32,2,10,400.2673446269484,0.07956944923529831,536.3622253220151,0.4924362254473028,78.07934064758528,160.0152888888889,0.0,0.0
BasicDBA_load25,basic,25,32,4,10,337.79902070015083,0.052866563876468535,481.80797439923015,0.016555177753955114,123.8034337849594,888.1439466666667,0.0,0.0
BasicDBA_load50,basic,50,32,1,10,414.25802052997324,0.0,476.02880439323593,0.0,45.60034670352876,32.000284444444446,0.0,0.0
BasicDBA_load50,basic,50,32,2,10,401.1760050736295,0.11501082319426006,546.2022885376817,0.43661355410047925,78.32855592808734,159.88577777777778,0.0,0.0
BasicDBA_load50,basic,50,32,4,10,422.9732116426019,0.13198305972026242,731.7308678111187,1.0471240436999731,64.72524159546977,1776.204888888889,0.0,0.0
BasicDBA_load75,basic,75,32,1,10,414.25802052997324,0.0,476.02880439323593,0.0,45.60034670352876,32.000284444444446,0.0,0.0
BasicDBA_load75,basic,75,32,2,10,401.24487021565244,0.09291720180223058,545.897827278382,0.6500561704003215,78.33330155302973,159.85351111111112,0.0,0.0
BasicDBA_load75,basic,75,32,4,10,2152.7756094204833,18.32278517957047,7718.325029342188,104.54088116727426,78.89387653936612,2662.671573333333,0.0,0.0
BasicDBA_load100,basic,100,32,1,10,26716.76152471014,0.004590676308212203,27356.02880047718,3.649914476881356e-09,1154.998859633764,31.99991466666667,0.0,0.0
BasicDBA_load100,basic,100,32,2,10,4410.632753464945,5.174507091276833,12790.137460610691,41.48189688159606,1804.5482106643674,159.9568,0.0,0.0
BasicDBA_load100,basic,100,32,4,10,177874.8507840352,5.425900995184936,178607.09795082486,0.01595124820231288,83.01263632174454,2867.2,0.17842664990535864,0.00046804870308920897
QoSDBA_load10,qos,10,32,1,10,164.25836796045803,0.0,226.028804393541,0.0,45.59983827388171,32.00014222222222,0.0,0.0
QoSDBA_load10,qos,10,32,2,10,401.22661872700695,0.14875176458940664,546.6657373991775,0.7315275284837116,78.31887008552536,160.0849777777778,0.0,0.0
QoSDBA_load10,qos,10,32,4,10,378.63013655574036,0.10108491927199267,483.34240279316947,0.014394132665457877,123.6997235179497,355.6680711111111,0.0,0.0
QoSDBA_load25,qos,25,32,1,10,164.25836796045803,0.0,226.028804393541,0.0,45.59983827388171,32.00014222222222,0.0,0.0
QoSDBA_load25,qos,25,32,2,10,401.13713052070705,0.0756486555598895,546.2269664674238,0.5122357697433153,78.45528301586072,160.0152888888889,0.0,0.0
QoSDBA_load25,qos,25,32,4,10,337.976770660985,0.051489988592725064,481.8089493866792,0.022118581291866224,123.3132272178795,888.1439466666667,0.0,0.0
QoSDBA_load50,qos,50,32,1,10,164.25836796045803,0.0,226.028804393541,0.0,45.59983827388171,32.00014222222222,0.0,0.0
QoSDBA_load50,qos,50,32,2,10,401.17613824601614,0.11480286921296573,546.2113125491795,0.4217817364130594,78.32788771898309,159.88577777777778,0.0,0.0
QoSDBA_load50,qos,50,32,4,10,423.4165020113667,0.12317577676925973,739.2365416923396,1.2779067394879327,64.72453777975727,1776.2047644444444,0.0,0.0
QoSDBA_load75,qos,75,32,1,10,164.25836796045803,0.0,226.028804393541,0.0,45.59983827388171,32.00014222222222,0.0,0.0
QoSDBA_load75,qos,75,32,2,10,401.2443358432793,0.0927096893723415,545.9211415909854,0.6555170127592944,78.33352746002664,159.85351111111112,0.0,0.0
QoSDBA_load75,qos,75,32,4,10,2214.2806905167263,21.605423214694504,8692.667844763619,222.86573767196066,78.92987277726228,2662.66448,0.0,0.0
QoSDBA_load100,qos,100,32,1,10,164.25836796045803,0.0,226.028804393541,0.0,45.59983827388171,32.00014222222222,0.0,0.0
QoSDBA_load100,qos,100,32,2,10,401.2660560213767,0.09356427278746716,546.3374862391429,0.5365870296308364,78.35346145766992,159.95884444444445,0.0,0.0
QoSDBA_load100,qos,100,32,4,10,177874.85235310788,5.427172800322828,178607.09527640554,0.01496718072735556,83.02119518198589,2867.2,0.17842800617735202,0.0004680403318035485
